epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.45846,0,60.4474,0,0,0,0,0,0,64.7942,0,0,0,0
2,6.21963,0,60.4736,0,0,0,0,0,0,64.8362,0,1.802e-05,1.802e-05,1.802e-05
3,8.90031,0,60.2692,0,0,0,0,0,0,64.8727,0,3.208e-05,3.208e-05,3.208e-05
4,11.5497,0,59.7316,0,0,0,0,0,0,64.9049,0,4.218e-05,4.218e-05,4.218e-05
5,14.2709,0,59.4126,0,0,0,0,0,0,64.9341,0,4.832e-05,4.832e-05,4.832e-05
6,16.9424,0,58.9843,0,0,0,0,0,0,64.9576,0,5.05e-05,5.05e-05,5.05e-05
7,19.5679,0,58.753,0,0,0,0,0,0,64.9704,0,4.872e-05,4.872e-05,4.872e-05
8,22.2155,0,58.5283,0,0,0,0,0,0,64.9819,0,4.298e-05,4.298e-05,4.298e-05
9,24.8348,0,58.4452,0,0,0,0,0,0,64.9971,0,3.328e-05,3.328e-05,3.328e-05
10,27.4519,0,58.2201,0,0,0,0,0,0,65.0142,0,1.962e-05,1.962e-05,1.962e-05
