epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.27528,0,60.3951,0,0,0,0,0,0,64.7935,0,0,0,0
2,8.05932,0,60.5158,0,0,0,0,0,0,64.8387,0,1.802e-05,1.802e-05,1.802e-05
3,11.7219,0,60.2317,0,0,0,0,0,0,64.8806,0,3.208e-05,3.208e-05,3.208e-05
4,15.3462,0,59.7635,0,0,0,0,0,0,64.9207,0,4.218e-05,4.218e-05,4.218e-05
5,19.0578,0,59.4275,0,0,0,0,0,0,64.9669,0,4.832e-05,4.832e-05,4.832e-05
6,22.7652,0,58.9053,0,0,0,0,0,0,65.0013,0,5.05e-05,5.05e-05,5.05e-05
7,26.3726,0,58.7195,0,0,0,0,0,0,65.0235,0,4.872e-05,4.872e-05,4.872e-05
8,30.016,0,58.5193,0,0,0,0,0,0,65.0448,0,4.298e-05,4.298e-05,4.298e-05
9,33.5814,0,58.4255,0,0,0,0,0,0,65.0647,0,3.328e-05,3.328e-05,3.328e-05
10,37.2505,0,58.1801,0,0,0,0,0,0,65.0831,0,1.962e-05,1.962e-05,1.962e-05
